"height [mm]","radius [mm]","Freq [GHz]","dB(S(1,1)) []"
9,7.2,6.8671679197995,-2.61012983943195
9,7.2,6.88721804511278,-2.59036098695468
9,7.2,6.90726817042607,-2.57210471677796
9,7.2,6.92731829573935,-2.55529146382389
9,7.2,6.94736842105263,-2.53985377986937
9,7.2,6.96741854636592,-2.52572636428902
9,7.2,6.9874686716792,-2.51284608091016
9,7.2,7.00751879699248,-2.50115196369409
9,7.2,7.02756892230577,-2.49058521373742
9,7.2,7.04761904761905,-2.48108918987786
9,7.2,7.06766917293233,-2.47260939499641
9,7.2,7.08771929824561,-2.4650934599327
9,7.2,7.1077694235589,-2.45849112677523
9,7.2,7.12781954887218,-2.45275423315289
9,7.2,7.14786967418546,-2.44783669904109
9,7.2,7.16791979949875,-2.44369451750375
9,7.2,7.18796992481203,-2.44028575072214
9,7.2,7.20802005012531,-2.43757053261362
9,7.2,7.2280701754386,-2.43551107931681
9,7.2,7.24812030075188,-2.43407170881577
9,7.2,7.26817042606516,-2.4332188709931
9,7.2,7.28822055137845,-2.43292118944299
9,7.2,7.30827067669173,-2.43314951643737
9,7.2,7.32832080200501,-2.43387700252536
9,7.2,7.3483709273183,-2.43507918235621
9,7.2,7.36842105263158,-2.43673407845155
9,7.2,7.38847117794486,-2.4388223248142
9,7.2,7.40852130325815,-2.44132731244934
9,7.2,7.42857142857143,-2.44423535909209
9,7.2,7.44862155388471,-2.44753590568323
9,7.2,7.468671679198,-2.45122174241538
9,7.2,7.48872180451128,-2.45528926748627
9,7.2,7.50877192982456,-2.45973878204533
9,7.2,7.52882205513784,-2.46457482520681
9,7.2,7.54887218045113,-2.46980655342751
9,7.2,7.56892230576441,-2.47544816901058
9,7.2,7.58897243107769,-2.48151940299839
9,7.2,7.60902255639098,-2.48804605825494
9,7.2,7.62907268170426,-2.49506061910894
9,7.2,7.64912280701754,-2.50260293452467
9,7.2,7.66917293233083,-2.51072098238173
9,7.2,7.68922305764411,-2.51947172306042
9,7.2,7.70927318295739,-2.52892205112921
9,7.2,7.72932330827068,-2.53914985448582
9,7.2,7.74937343358396,-2.55024519077918
9,7.2,7.76942355889724,-2.5623115912865
9,7.2,7.78947368421053,-2.57546750257815
9,7.2,7.80952380952381,-2.58984787619146
9,7.2,7.82957393483709,-2.60560591605629
9,7.2,7.84962406015038,-2.62291499244423
9,7.2,7.86967418546366,-2.64197072960177
9,7.2,7.88972431077694,-2.66299327179367
9,7.2,7.90977443609022,-2.68622972901648
9,7.2,7.92982456140351,-2.71195679890014
9,7.2,7.94987468671679,-2.74048355503164
9,7.2,7.96992481203007,-2.77215438382352
9,7.2,7.98997493734336,-2.80735204182655
9,7.2,8.01002506265664,-2.84719465362215
9,7.2,8.03007518796992,-2.89177000131198
9,7.2,8.05012531328321,-2.94104359240636
9,7.2,8.07017543859649,-2.99591205419446
9,7.2,8.09022556390977,-3.05732967997865
9,7.2,8.11027568922306,-3.12630773131459
9,7.2,8.13032581453634,-3.20391239399386
9,7.2,8.15037593984962,-3.29126119698606
9,7.2,8.17042606516291,-3.38951775357813
9,7.2,8.19047619047619,-3.49988476328241
9,7.2,8.21052631578947,-3.6235953246974
9,7.2,8.23057644110276,-3.76190275347436
9,7.2,8.25062656641604,-3.9160692719164
9,7.2,8.27067669172932,-4.08735412873068
9,7.2,8.29072681704261,-4.27700190537545
9,7.2,8.31077694235589,-4.48623195166967
9,7.2,8.33082706766917,-4.71623004854786
9,7.2,8.35087719298246,-4.9681435025196
9,7.2,8.37092731829574,-5.24308092305258
9,7.2,8.39097744360902,-5.54211791960399
9,7.2,8.41102756892231,-5.86630989203255
9,7.2,8.43107769423559,-6.21671300490921
9,7.2,8.45112781954887,-6.5944143765583
9,7.2,8.47117794486216,-7.00057253524609
9,7.2,8.49122807017544,-7.43646936802093
9,7.2,8.51127819548872,-7.90357519559451
9,7.2,8.53132832080201,-8.40362935149296
9,7.2,8.55137844611529,-8.93873986090041
9,7.2,8.57142857142857,-9.5115077008983
9,7.2,8.59147869674186,-10.1251839869208
9,7.2,8.61152882205514,-10.7838727743068
9,7.2,8.63157894736842,-11.4927988358366
9,7.2,8.65162907268171,-12.25867022084
9,7.2,8.67167919799499,-13.0901821046996
